Код ошибки;Простое описание
825;Проблемы с дисковым оборудованием – вероятность потерять данные не равна 0. И скорее всего означает что физическое разрушение данные уже началось.
833;Низкая производительность дискового оборудования – фактически учитывая хорошее кеширование на стороне MSSQL означает что дисковая подсистема не справляется с той странной нагрузкой, которую вы дали своему серверу. Для 1С систем очень часто появляется в момент массовых загрузок в момент интеграции, когда загружаемые данные записываются массово.
855;Очистка запланированных заданий не удалась – фактически для администратора это означает что кто-то изменил настройки его планов обслуживания. Ошибка связана с разделением прав на администрирование сервера. Требует внимания, так как если кто-то еще администрирует сервер – вероятность коллизий возрастает
856;Нет возможности подключиться к административным представлениям, на основе которых сейчас чаще всего строится мониторинг. Это может быть вызвано проблемой с правами, а также нарушением работы самих административных представлений. Чаще всего, как и предыдущая – происходит, когда кто-то кроме Вас поковырялся в системных настройках.
3452;При проверке архивной копии выявились некосистетные данные в таблице. Фактически вы должны понимать – что у Вас нет правильной архивной копии. И вы нормально не восстановите данные.
3619;Кончилось место для лога транзакций.  Обычно возникает когда неверно спланировали «усечение» лога транзакций» и выделенное под него место.
17119;Выход за пределы лицензий на SQL сервер, связанная с количеством соединений. Фактически часть пользовательский соединений у вас не может прочитать данные. Очень похоже на превышение количества лицензий на 1С
17883;Ошибка в SQL когда SQL не справляется с нагрузкой в части распределения между потоками и процессорным временем. Может быть багом SQL сервера, а может требовать снижения нагрузки и рефакторинга кода, вызывающего максимальную нагрузку на CPU
17884;Дедлоки… Пошли дедлоки. Фактически показывает что ваша СУБД периодически встает в ступор. Очень часто связано с ошибкой установки MAX_DOP = 0.
17887;Явный проблемы при работе с дисковой полкой. То есть когда у вас наблюдаются проблемы с низкоуровневым доступом к подсистеме ввода\вывода. Обычно возникает, когда неверные настройки проходят на уровне инфраструктуры. Microsoft рекомендует сразу обращаться на линию поддержки, потому как чаще всего это сложная проблема и требует исследования. В моем опыте почти всегда связана с не обновлённым BIOS на устройствах.
17888;Еще дедлоки, обычно возникает рядом с 17883. Группа ошибок типа 17xxx вообще достаточно низкоуровневая, но на продуктивах в 1С возникает почти всегда. Мы используем для исправления вот эту статью.
17890;Проблемы с памятью на инстансе MSSQL
28036;Не работает репликация AlwaysOn – фактически означает что у вас нет сейчас высокодостпного кластера. Мы обычно называем эту ошибку «отказоустойчивый кластер отказал»
